Rashi,Nakshatra,Nakshatra lord,Vimshottari dasa (yrs),Pada,Start,End,Snippet
Aries,Ashwini,Ketu,1.75,P1,0,3.33333300000000,Tendency to use other's wealth
Aries,Ashwini,Ketu,1.75,P2,3.33333300000000,6.66666700000000,Childish in acts
Aries,Ashwini,Ketu,1.75,P3,6.66666700000000,10,Fortunate
Aries,Ashwini,Ketu,1.75,P4,10,13.3333330000000,Enjoys pleasures; longlived
Aries,Bharani,Venus,5,P1,13.3333330000000,16.6666670000000,Sacrificial in disposition
Aries,Bharani,Venus,5,P2,16.6666670000000,20,Rich and happy
Aries,Bharani,Venus,5,P3,20,23.3333330000000,Inflicting suffering 
Aries,Bharani,Venus,5,P4,23.3333330000000,26.6666670000000,Incurs poverty
Aries,Krittika,Sun,1.5,P1,26.6666670000000,30,Radiant
Taurus,Krittika,Sun,1.5,P2,30,33.3333330000000,Has knowledge of scriptures
Taurus,Krittika,Sun,1.5,P3,33.3333330000000,36.6666670000000,Experiences grief
Taurus,Krittika,Sun,1.5,P4,36.6666670000000,40,Enjoys longevity and many sons
Taurus,Rohini,Moon,2.5,P1,40,43.3333330000000,Highly prosperous
Taurus,Rohini,Moon,2.5,P2,43.3333330000000,46.6666670000000,Incurs evils
Taurus,Rohini,Moon,2.5,P3,46.6666670000000,50,Timid in disposition
Taurus,Rohini,Moon,2.5,P4,50,53.3333330000000,Truthful
Taurus,Mrigsira,Mars,1.75,P1,53.3333330000000,56.6666670000000,Kingly in status
Taurus,Mrigsira,Mars,1.75,P2,56.6666670000000,60,Tendency to use other's wealth
Gemini,Mrigsira,Mars,1.75,P3,60,63.3333330000000,Enjoys pleasures
Gemini,Mrigsira,Mars,1.75,P4,63.3333330000000,66.6666670000000,Endowed with wealth and grains
Gemini,Ardra,Rahu,4.5,P1,66.6666670000000,70,Spendthrift
Gemini,Ardra,Rahu,4.5,P2,70,73.3333330000000,In the grip of poverty
Gemini,Ardra,Rahu,4.5,P3,73.3333330000000,76.6666670000000,Short-lived
Gemini,Ardra,Rahu,4.5,P4,76.6666670000000,80,Tendency to use other's wealth
Gemini,Punarvasu,Jupiter,4,P1,80,83.3333330000000,Happy
Gemini,Punarvasu,Jupiter,4,P2,83.3333330000000,86.6666670000000,Learned
Gemini,Punarvasu,Jupiter,4,P3,86.6666670000000,90,Weak health
Cancer,Punarvasu,Jupiter,4,P4,90,93.3333330000000,Not truthful
Cancer,Pushya,Saturn,4.75,P1,93.3333330000000,96.6666670000000,Long-lived
Cancer,Pushya,Saturn,4.75,P2,96.6666670000000,100,Tendency to use other's wealth
Cancer,Pushya,Saturn,4.75,P3,100,103.333333000000,Enjoys pleasures
Cancer,Pushya,Saturn,4.75,P4,103.333333000000,106.666667000000,Intelligent
Cancer,Ashlesha,Mercury,4.25,P1,106.666667000000,110,Childless
Cancer,Ashlesha,Mercury,4.25,P2,110,113.333333000000,In servitude
Cancer,Ashlesha,Mercury,4.25,P3,113.333333000000,116.666667000000,Weak health
Cancer,Ashlesha,Mercury,4.25,P4,116.666667000000,120,Very prosperous
Leo,Magha,Ketu,1.75,P1,120,123.333333000000,No male progeny
Leo,Magha,Ketu,1.75,P2,123.333333000000,126.666667000000,Male progeny
Leo,Magha,Ketu,1.75,P3,126.666667000000,130,Suffers from dangerous disease
Leo,Magha,Ketu,1.75,P4,130,133.333333000000,A scholar
Leo,Purva Phalguni,Venus,5,P1,133.333333000000,136.666667000000,Skilful person
Leo,Purva Phalguni,Venus,5,P2,136.666667000000,140,Righteous
Leo,Purva Phalguni,Venus,5,P3,140,143.333333000000,Inflicting suffering
Leo,Purva Phalguni,Venus,5,P4,143.333333000000,146.666667000000,Short-lived
Leo,Uttar Phalguni,Sun,1.5,P1,146.666667000000,150,Scholar
Virgo,Uttar Phalguni,Sun,1.5,P2,150,153.333333000000,Ruler of the earth
Virgo,Uttar Phalguni,Sun,1.5,P3,153.333333000000,156.666667000000,Successful 
